date,base,quote,rate
2010-01-01,EUR,BRL,2.5083
2010-01-04,EUR,BRL,2.4956
2010-01-05,EUR,BRL,2.4873
2010-01-06,EUR,BRL,2.4899
2010-01-07,EUR,BRL,2.4981
2010-01-08,EUR,BRL,2.5006
2010-01-11,EUR,BRL,2.503
2010-01-12,EUR,BRL,2.5215
2010-01-13,EUR,BRL,2.5312
2010-01-14,EUR,BRL,2.549
2010-01-15,EUR,BRL,2.5458
2010-01-16,EUR,BRL,2.5446
2010-01-18,EUR,BRL,2.5456
2010-01-19,EUR,BRL,2.5403
2010-01-20,EUR,BRL,2.5303
2010-01-21,EUR,BRL,2.5236
2010-01-22,EUR,BRL,2.5483
2010-01-23,EUR,BRL,2.5485
2010-01-25,EUR,BRL,2.5656
2010-01-26,EUR,BRL,2.5748
2010-01-27,EUR,BRL,2.5863
2010-01-28,EUR,BRL,2.6
2010-01-29,EUR,BRL,2.6091
2010-01-30,EUR,BRL,2.6075
2010-02-01,EUR,BRL,2.6085
2010-02-02,EUR,BRL,2.584
2010-02-03,EUR,BRL,2.5717
2010-02-04,EUR,BRL,2.5797
2010-02-05,EUR,BRL,2.581
2010-02-06,EUR,BRL,2.5769
2010-02-08,EUR,BRL,2.5673
2010-02-09,EUR,BRL,2.5588
2010-02-10,EUR,BRL,2.5499
2010-02-11,EUR,BRL,2.5465
2010-02-12,EUR,BRL,2.5384
2010-02-13,EUR,BRL,2.5367
2010-02-15,EUR,BRL,2.5349
2010-02-16,EUR,BRL,2.5336
2010-02-17,EUR,BRL,2.5292
2010-02-18,EUR,BRL,2.4975
2010-02-19,EUR,BRL,2.4655
2010-02-20,EUR,BRL,2.4644
2010-02-22,EUR,BRL,2.4641
2010-02-23,EUR,BRL,2.4725
2010-02-24,EUR,BRL,2.4711
2010-02-25,EUR,BRL,2.4706
2010-02-26,EUR,BRL,2.4704
2010-02-27,EUR,BRL,2.4723
2010-03-01,EUR,BRL,2.4592
2010-03-02,EUR,BRL,2.4398
2010-03-03,EUR,BRL,2.4404
2010-03-04,EUR,BRL,2.4479
2010-03-05,EUR,BRL,2.4376
2010-03-06,EUR,BRL,2.4358
2010-03-08,EUR,BRL,2.4339
2010-03-09,EUR,BRL,2.4361
2010-03-10,EUR,BRL,2.4214
2010-03-11,EUR,BRL,2.4185
2010-03-12,EUR,BRL,2.423
2010-03-13,EUR,BRL,2.4242
2010-03-15,EUR,BRL,2.4254
2010-03-16,EUR,BRL,2.4208
2010-03-17,EUR,BRL,2.4302
2010-03-18,EUR,BRL,2.4323
2010-03-19,EUR,BRL,2.4388
2010-03-20,EUR,BRL,2.4374
2010-03-22,EUR,BRL,2.4395
2010-03-23,EUR,BRL,2.4247
2010-03-24,EUR,BRL,2.4038
2010-03-25,EUR,BRL,2.4046
2010-03-26,EUR,BRL,2.4282
2010-03-27,EUR,BRL,2.4277
2010-03-29,EUR,BRL,2.4372
2010-03-30,EUR,BRL,2.425
2010-03-31,EUR,BRL,2.4107
2010-04-01,EUR,BRL,2.4084
2010-04-02,EUR,BRL,2.4064
2010-04-03,EUR,BRL,2.4054
2010-04-05,EUR,BRL,2.3989
2010-04-06,EUR,BRL,2.3743
2010-04-07,EUR,BRL,2.3612
2010-04-08,EUR,BRL,2.374
2010-04-09,EUR,BRL,2.3827
2010-04-10,EUR,BRL,2.3835
2010-04-12,EUR,BRL,2.3959
2010-04-13,EUR,BRL,2.3911
2010-04-14,EUR,BRL,2.3867
2010-04-15,EUR,BRL,2.3808
2010-04-16,EUR,BRL,2.378
2010-04-17,EUR,BRL,2.3773
2010-04-19,EUR,BRL,2.3757
2010-04-20,EUR,BRL,2.3665
2010-04-21,EUR,BRL,2.3585
2010-04-22,EUR,BRL,2.3545
2010-04-23,EUR,BRL,2.3521
2010-04-24,EUR,BRL,2.351
2010-04-26,EUR,BRL,2.3433
2010-04-27,EUR,BRL,2.3404
2010-04-28,EUR,BRL,2.337
2010-04-29,EUR,BRL,2.3151
2010-04-30,EUR,BRL,2.305
2010-05-01,EUR,BRL,2.3047
2010-05-03,EUR,BRL,2.3017
2010-05-04,EUR,BRL,2.2902
2010-05-05,EUR,BRL,2.2953
2010-05-06,EUR,BRL,2.3094
2010-05-07,EUR,BRL,2.3359
2010-05-08,EUR,BRL,2.3365
2010-05-10,EUR,BRL,2.3386
2010-05-11,EUR,BRL,2.2804
2010-05-12,EUR,BRL,2.267
2010-05-13,EUR,BRL,2.2509
2010-05-14,EUR,BRL,2.2404
2010-05-15,EUR,BRL,2.2362
2010-05-17,EUR,BRL,2.2266
2010-05-18,EUR,BRL,2.2248
2010-05-19,EUR,BRL,2.2344
2010-05-20,EUR,BRL,2.2716
